name,brand,barcode,proteins,carbohydrates,fats,energy,saturated_fats,monounsaturated_fats,polyunsaturated_fats,omega3,omega6,sugars,salt,dietary_fiber,cholesterol,caffeine_milli,vitamin_a,vitamin_b1,vitamin_b2,vitamin_b3,vitamin_b5,vitamin_b6,vitamin_b7_micro,vitamin_b9,vitamin_b12,vitamin_c,vitamin_d,vitamin_e,vitamin_k_micro,manganese_milli,magnesium,potassium,calcium,copper_milli,zinc,sodium,iron,phosphorus,selenium,iodine,package_weight,serving_weight
"Erbse (Konserve), aufgewärmt (ohne Zugabe von Salz)",,,4.9,13.1,0.8,89,0.1,0.1,0.4,,,0.0,0.6,5.1,0.0,,,0.0001,8e-05,0.00085,0.00011999999999999999,4e-05,,2.55e-05,0.0,0.0068,0.0,0.00020999999999999998,,,0.02,0.11,0.032,,0.0005,0.24,0.0014,0.084,0.0,5.3e-06,,
Erbsen und Karotten (Konserve),,,4.2,9.6,0.6,68,0.1,0.1,0.2,,,3.8,1.0,4.1,0.0,,,0.00011999999999999999,8e-05,0.00131,0.00055,8.999999999999999e-05,,5.8700000000000004e-05,0.0,0.0258,0.0,0.00023,,,0.018,0.2,0.038,,0.0004,0.41,0.0007,0.044,1.1e-06,1.8999999999999998e-06,,
"Erbsen und Karotten (Konserve), aufgewärmt (ohne Zugabe von Salz)",,,4.3,9.8,0.6,70,0.1,0.1,0.2,,,3.9,0.9,4.2,0.0,,,0.0001,8e-05,0.0011200000000000001,0.0005,8.999999999999999e-05,,3.75e-05,0.0,0.0195,0.0,0.00023999999999999998,,,0.017,0.18,0.038,,0.0004,0.37,0.0006,0.045,1.1e-06,1.8999999999999998e-06,,
"Erbse, reif, getrocknet",,,21.3,51.9,1.7,331,0.3,0.3,0.8,,,2.8,0.0,11.6,0.0,,,0.00079,0.00020999999999999998,0.003,0.00149,0.00011999999999999999,,0.0002,0.0,0.0039,0.0,0.00013000000000000002,,,0.096,1.06,0.039,,0.0031,0.0066,0.0043,0.36,0.0,1.3e-06,,
"Erbse, reif, getrocknet, gekocht (ohne Zusatz von Fett und Salz)",,,9.0,21.2,0.7,137,0.1,0.1,0.3,,,1.1,0.0,5.0,0.0,,,0.00022,7.000000000000001e-05,0.0008399999999999999,0.00035,2.9999999999999997e-05,,4.29e-05,0.0,0.001,0.0,5e-05,,,0.036,0.34,0.018,,0.0012,0.0027,0.0016,0.14,0.0,5e-07,,
"Erdbeere, roh",,,0.6,6.0,0.4,38,0.0,0.1,0.2,,,5.6,0.0,3.8,0.0,,,2e-05,2e-05,0.00037,0.00011999999999999999,4e-05,,4.07e-05,0.0,0.055799999999999995,0.0,0.0003,,,0.012,0.14,0.018,,0.0001,0.001,0.0002,0.023,2.0000000000000002e-07,1e-06,,
Erdnuss,,,26.1,14.8,49.1,623,8.4,25.5,12.9,,,5.9,0.0,8.6,0.0,,,0.0006,0.00043,0.012,0.00248,2e-05,,0.0001017,0.0,0.0,0.0,0.0028799999999999997,,,0.16,0.71,0.065,,0.004,0.018,0.0016,0.38,3e-05,1.3e-05,,
Erdnussbutter,,,26.1,12.5,51.8,636,12.8,19.9,16.9,,,6.4,0.9,7.6,0.0,,,0.00017,0.0001,0.015,0.00124,0.00058,,5.3e-05,0.0,0.0,0.0,0.0047,,,0.18,0.7,0.037,,0.003,0.35,0.002,0.33,3e-06,0.0,,
Erdnuss-Flips,,,13.2,56.5,24.2,507,4.4,11.7,6.9,,,0.0,1.9,4.9,0.0,,,0.00017999999999999998,4e-05,0.00326,0.0006,0.00013000000000000002,,1.7e-05,0.0,0.0,0.0,0.0035,,,0.043,0.17,0.016,,0.0008,0.77,0.0009,0.11,0.0,5e-06,,
"Erdnuss, geröstet, gesalzen",,,26.2,15.0,50.0,631,8.6,24.7,12.4,,,4.2,1.3,8.0,0.0,,,0.00014000000000000001,7.000000000000001e-05,0.0124,0.00117,0.00043,,6.659999999999999e-05,0.0,0.0005,0.0,0.0025,,,0.17,0.53,0.047,,0.0029,0.53,0.0012,0.24,4.8e-06,5.7000000000000005e-06,,
"Erdnuss, geröstet, ohne Salz",,,26.8,11.3,51.9,637,7.9,26.2,9.8,,,2.5,0.0,8.7,0.0,,,0.00015,0.0002,0.0144,0.00101,0.00047,,9.7e-05,0.0,0.0,0.0,0.0049299999999999995,,,0.18,0.63,0.058,,0.0028,0.008,0.0016,0.36,0.0,0.0,,
Erdnuss mit Schokoladeüberzug,,,9.5,55.9,25.0,498,9.9,12.7,1.2,,,50.5,0.1,5.9,0.0,,,0.00034,0.00017,0.00229,0.00078,2.9999999999999997e-05,,8.04e-05,0.0,0.0,8.000000000000001e-07,0.00232,,,0.095,0.5,0.1,,0.0014,0.047,0.0029,0.23,0.0,0.0,,
Erdnussöl,,,0.0,0.0,100.0,900,17.3,59.1,19.4,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.013900000000000001,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,
"Espresso crème, ungezuckert",,,0.5,0.8,2.5,28,1.5,0.6,0.1,,,0.7,0.0,0.1,0.008,,,0.0,2e-05,0.00013000000000000002,7.000000000000001e-05,0.0,,5e-07,8e-08,0.0002,1.0000000000000001e-07,5.9999999999999995e-05,,,0.0040999999999999995,0.045,0.023,,0.0,0.014,0.0,0.017,0.0,1.8999999999999998e-06,,
Essig,,,0.1,0.7,0.0,21,0.0,0.0,0.0,,,0.3,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0077,0.035,0.007,,0.0002,0.0077,0.0002,0.012,0.0,5e-06,,
"Essig-Öl-Salatsauce, hausgemacht (mit Rapsöl)",,,0.7,2.5,30.2,287,2.1,18.0,8.5,,,1.8,0.6,0.9,0.0,,,2e-05,1e-05,0.00011999999999999999,5.9999999999999995e-05,2.9999999999999997e-05,,1.08e-05,0.0,0.0017,0.0,0.009,,,0.0094,0.068,0.014,,0.0002,0.24,0.0002,0.023,0.0,3.1e-06,,
"Extrudierte teilentfettet Soja (Granulat, Schnetzel), trocken",,,49.9,9.0,4.4,322,0.6,0.7,2.5,,,7.2,0.0,23.5,0.0,,,0.00015,4e-05,0.00202,0.0017900000000000001,0.00029,,0.000119,0.0,0.0,0.0,0.00061,,,0.27,1.98,0.35,,0.0045,0.0015,0.012,0.58,8.8e-06,7e-07,,
"Falafel, frittiert (in HOLL Rapsöl frittiert)",,,8.4,26.9,7.9,225,0.7,5.0,1.8,,,1.9,0.7,6.4,0.0,,,0.00014000000000000001,4e-05,0.00047999999999999996,0.00026000000000000003,0.00011,,5.19e-05,0.0,0.0046,0.0,0.00226,,,0.047,0.36,0.047,,0.0009,0.3,0.0019,0.14,0.0,9.000000000000001e-07,,
Fasnachtschüechli,,,11.5,51.7,32.9,553,16.1,10.5,2.6,,,1.9,0.1,2.3,0.159,,,0.00014000000000000001,0.0001,0.00025,0.00088,5.9999999999999995e-05,,2.37e-05,3.5e-07,0.0,1e-06,0.00257,,,0.014,0.17,0.028,,0.0007,0.058,0.0008,0.1,0.0,1.3e-05,,
"Federkohl, gedünstet (ohne Zugabe von Salz und Fett)",,,4.3,2.6,0.9,44,0.1,0.0,0.5,,,2.6,0.3,4.2,0.0,,,8.999999999999999e-05,0.00023999999999999998,0.0017900000000000001,0.00064,0.0002,,5.45e-05,0.0,0.0433,0.0,0.00181,,,0.036,0.4,0.24,,0.0006,0.098,0.0012,0.067,1.2e-06,4.5e-06,,
"Federkohl, roh",,,4.3,2.5,0.9,44,0.1,0.0,0.5,,,2.5,0.3,4.2,0.0,,,0.0001,0.00025,0.0021000000000000003,0.0007,0.00022,,8.54e-05,0.0,0.074,0.0,0.0017,,,0.038,0.44,0.24,,0.0007,0.11,0.0014,0.067,1.2e-06,4.5e-06,,
"Feige, getrocknet",,,3.1,55.9,1.2,267,0.1,0.2,0.7,,,55.9,0.3,10.0,0.0,,,8e-05,8e-05,0.00065,0.00035,0.00011999999999999999,,1.2699999999999999e-05,0.0,0.0005,0.0,0.00035,,,0.067,0.78,0.19,,0.0005,0.11,0.0014,0.075,6e-07,4e-06,,
"Feige, roh",,,1.2,13.5,0.5,71,0.1,0.1,0.2,,,12.2,0.0,4.1,0.0,,,4e-05,2.9999999999999997e-05,0.00035,0.0002,5.9999999999999995e-05,,2.45e-05,0.0,0.0034,0.0,8e-05,,,0.022,0.23,0.057,,0.0002,0.005,0.0003,0.021,1.6000000000000001e-06,1.5e-06,,
"Felche, roh",,,19.2,0.0,2.3,98,0.5,0.7,0.4,,,0.0,0.1,0.0,0.054,,,7.000000000000001e-05,7.000000000000001e-05,0.004,0.0,0.00045,,1e-05,1e-06,0.0,2.2100000000000002e-05,0.0013,,,0.028,0.39,0.011,,0.0006,0.02,0.0004,0.25,2.7e-05,1.5e-06,,
"Fenchel, gedämpft (ohne Zugabe von Salz)",,,1.0,2.5,0.4,22,0.1,0.1,0.2,,,2.1,0.0,2.4,0.0,,,2e-05,0.0001,0.00016,0.00013000000000000002,2.9999999999999997e-05,,1.18e-05,0.0,0.0025,0.0,0.00014000000000000001,,,0.0099,0.27,0.035,,0.0002,0.019,0.0002,0.027,0.0,5e-07,,
"Fenchel, roh",,,1.0,2.6,0.4,23,0.1,0.1,0.2,,,2.2,0.1,2.6,0.0,,,2e-05,0.00011,0.0002,0.00015,4e-05,,1.9600000000000002e-05,0.0,0.0033,0.0,0.00014000000000000001,,,0.011,0.32,0.037,,0.0002,0.022,0.0002,0.028,0.0,5e-07,,
Fermentierter Teig,,,7.8,38.3,0.9,199,0.1,0.1,0.4,,,0.3,1.2,3.0,0.0,,,0.00017,5.9999999999999995e-05,0.0007099999999999999,0.00041,0.00017,,2.5699999999999998e-05,0.0,0.0,0.0,0.00023,,,0.032,0.12,0.013,,0.0011,0.49,0.0015,0.11,3.5e-06,9.000000000000001e-07,,
"Fisch (Durchschnitt), Filet, gedämpft (ohne Zusatz von Fett und Salz)",,,17.9,0.0,5.8,123,0.9,2.4,1.6,,,0.0,0.2,0.0,0.073,,,0.00011,8.999999999999999e-05,0.00431,0.00043,0.00031,,9.9e-06,3.38e-06,0.0006,4.9000000000000005e-06,0.00126,,,0.027,0.38,0.021,,0.0005,0.072,0.0005,0.23,3.7e-05,7.3e-05,,
"Fisch (Durchschnitt), roh ",,,19.1,0.0,5.3,124,0.8,2.2,1.4,,,0.0,0.2,0.0,0.059,,,0.00011999999999999999,0.0001,0.00492,0.0005,0.00035999999999999997,,1.13e-05,3.38e-06,0.0006,4.7e-06,0.0011200000000000001,,,0.025,0.41,0.017,,0.0004,0.068,0.0005,0.22,3.3e-05,6.5e-05,,
"Fischstäbchen, paniert und vorfritiert",,,15.5,15.5,11.9,232,0.9,6.8,3.5,,,0.1,0.6,0.7,0.047,,,7.000000000000001e-05,4e-05,0.0014,0.0,0.00011999999999999999,,8.5e-06,8.8e-07,0.0,9.000000000000001e-07,0.00127,,,0.019,0.3,0.01,,0.0005,0.25,0.0004,0.14,1.8e-05,8.9e-05,,
"Fischstäbchen (paniert und vorfritiert), gebraten in HOLL-Rapsöl",,,16.0,16.8,18.9,302,1.4,12.0,4.4,,,0.1,0.6,0.8,0.051,,,5.9999999999999995e-05,4e-05,0.0013700000000000001,0.0,0.0001,,7.4e-06,8.6e-07,0.0,8.000000000000001e-07,0.00164,,,0.018,0.28,0.011,,0.0005,0.23,0.0004,0.14,2e-05,9.6e-05,,
"Fischstäbchen (paniert und vorfritiert), im Ofen gebacken (ohne Zugabe von Fett)",,,16.7,17.6,12.4,251,1.0,7.1,3.6,,,0.1,0.6,0.8,0.053,,,5.9999999999999995e-05,4e-05,0.00132,0.0,0.00011999999999999999,,7.7e-06,9.000000000000001e-07,0.0,8.000000000000001e-07,0.00135,,,0.019,0.29,0.012,,0.0005,0.24,0.0004,0.15,2.1e-05,0.0001,,
