name,brand,barcode,proteins,carbohydrates,fats,energy,saturated_fats,monounsaturated_fats,polyunsaturated_fats,omega3,omega6,sugars,salt,dietary_fiber,cholesterol_milli,caffeine_milli,vitamin_a_micro,vitamin_b1_milli,vitamin_b2_milli,vitamin_b3_milli,vitamin_b5_milli,vitamin_b6_milli,vitamin_b7_micro,vitamin_b9_micro,vitamin_b12_micro,vitamin_c_milli,vitamin_d_micro,vitamin_e_milli,vitamin_k_micro,manganese_milli,magnesium_milli,potassium_milli,calcium_milli,copper_milli,zinc_milli,sodium_milli,iron_milli,phosphorus_milli,selenium_micro,iodine_micro,package_weight,serving_weight
"Agnello, cosciotto, arrosto (senza aggiunta di grassi o sale)",,,28.6,0.0,9.8,203,4.7,3.7,0.8,,,0,0.2,0,97,,,0.16,0.07,6.81,1.1,0.41,,7.2,3.77,0,7.2,0.48,,,25,390,6.3,,5.4,77.0,2.3,240,7,1.2,,
"Agnello, cosciotto (Svizzera, Nuova Zelanda), crudo ",,,20.2,0.0,8.2,155,3.9,3.1,0.6,,,0,0.2,0,65,,,0.18,0.06,6.52,0.92,0.46,,6,3.61,0,6.1,0.4,,,20,330,4.7,,3.6,61.0,1.6,190,4.7,0.8,,
"Agnello, costoletta, cruda",,,20.2,0.0,10.9,179,5.2,4,0.9,,,0,0.2,0,72,,,0.18,0.06,6.6,0.57,0.32,,6,3.61,0,5.2,0.5,,,20,310,8.4,,2.1,69.0,1.5,180,7,0.9,,
"Agnello, filetto, cotto in padella, cottura media (senza aggiunta di grassi o sale)",,,25.8,0.0,4.8,147,1.8,1.5,0.4,,,0,0.2,0,88,,,0.1,0.25,6.08,0.7,0.14,,25.6,2.05,0,0,0.2,,,31,290,14,,4.3,77.0,2.4,220,7.9,0.9,,
"Agnello, filetto, crudo",,,20.4,0.0,4.5,122,1.7,1.4,0.4,,,0,0.2,0,66,,,0.13,0.23,6.51,0.66,0.17,,24,2.2,0,0,0.19,,,27,280,12,,3.2,68.0,1.9,190,5.9,0.7,,
"Agnello, lombata, cruda (Australia, Nuova Zelanda)",,,21.8,0.0,3.3,117,1.3,1,0.3,,,0,0.1,0,72,,,0.18,0.06,6.7,0.92,0.51,,6,3.61,0,2.9,0.5,,,23,330,3.8,,2.3,44.0,1.9,200,8.7,0.8,,
"Agnello (media, senza interiora e cotoletta), crudo",,,20.5,0.0,6.1,137,2.7,2.1,0.5,,,0,0.1,0,67,,,0.17,0.1,6.56,0.77,0.38,,10.5,3.26,0,3.8,0.4,,,22,310,6.3,,3.3,58.0,1.7,190,6.7,0.7,,
"Agnello, spezzatino, crudo (Svizzera)",,,19.6,0.0,8.4,154,3.9,2.9,0.7,,,0,0.2,0,66,,,0.18,0.06,6.52,0.57,0.36,,6,3.61,0,6.1,0.5,,,18,310,4.6,,4.3,60.0,1.3,170,7.4,0.7,,
"Agrumi (media), crudi",,,0.8,7.5,0.3,40,0,0.1,0.1,,,7,0.0,2.2,0,,,0.08,0.03,0.31,0.18,0.05,,17.5,0,47.6,0,0.3,,,13,160,34,,0.1,1.0,0.3,28,1.5,1.1,,
"Albicocca, con edulcorante, in scatola, sgocciolata",,,0.9,8.2,0.1,40,0,0.1,0,,,6.1,0.0,1.4,0,,,0.02,0.02,0.34,0.16,0.05,,3.2,0,1.6,0,0.74,,,7.6,180,16,,0.1,0.0,0.2,20,0.8,0.6,,
"Albicocca, cruda",,,0.8,9.0,0.1,44,0,0.1,0,,,6.7,0.0,1.7,0,,,0.02,0.02,0.38,0.18,0.06,,5.6,0,3.6,0,0.65,,,8.4,260,15,,0.1,0.0,0.2,22,0.7,0.5,,
"Albicocca, sciroppata, in scatola, sgocciolata",,,0.9,13.7,0.1,62,0,0.1,0,,,13.3,0.0,1.4,0,,,0.02,0,0.11,0.12,0.02,,6.9,0,2.2,0,0.45,,,4.9,140,18,,0.1,9.7,0.1,11,0.2,0.5,,
"Albicocche, cotte, sgocciolate (senza aggiunta di zucchero)",,,1.0,9.0,0.2,45,0,0.1,0,,,6.7,0.0,1.7,0,,,0.02,0.02,0.38,0.18,0.05,,3.5,0,1.8,0,0.82,,,8.4,200,18,,0.1,0.0,0.2,22,0.9,0.6,,
"Albicocche, secche",,,2.9,59.1,0.5,239,0.2,0.1,0.2,,,34.3,0.0,8.3,0,,,0.01,0.04,2.69,0.58,0.15,,8.9,0,0.2,0,4,,,50,1370,82,,0.4,11.0,1.4,110,2.2,2.7,,
"Albume d'uovo, crudo",,,10.8,0.4,0.0,45,0,0,0,,,0.4,0.5,0,0,,,0.02,0.42,0.04,0.28,0.04,,10,0.33,0,0,0,,,11,150,5.1,,0,190.0,0,12,12,7.5,,
"Alghe, Nori, secche",,,31.5,10.5,1.6,255,0.4,0.2,0.7,,,0.5,5.0,36.3,0,,,0.58,1.91,5.82,0.25,0.53,,21.7,nd,57.3,0.6,2.87,,,490,1730,320,,4.5,1980.0,37,520,51,5100,,
"Amaranto, seme, cotto (senza aggiunta di grassi e sale)",,,5.0,18.1,2.1,119,0.4,0.5,0.8,,,0.5,0.0,3.5,0,,,0.02,0.06,0.34,0.27,0.11,,16.2,0,1,0,0.4,,,84,150,58,,1.2,1.9,3,180,nd,0.8,,
"Amaranto, seme, crudo",,,15.8,56.8,7.0,376,1.5,1.7,2.8,,,1.7,0.0,11,0,,,0.08,0.19,1.2,0.95,0.53,,64.3,0,4.2,0,1.19,,,250,480,160,,3.7,4.0,9,560,nd,2.5,,
Amaretti (biscotti alle mandorle),,,8.8,76.7,13.0,464,1.1,8.3,3,,,76.4,0.1,2.6,0,,,0.04,0.31,0.48,0.17,0.04,,15,0.07,0.1,0,6.33,,,62,220,69,,0.8,42.0,0.9,130,3.2,1.7,,
Amaretto alle nocciole,,,12.2,37.5,37.0,544,2.6,29,3.8,,,33,0.2,6,0,,,0.29,0.1,0.83,1.04,0.32,,48.6,0.06,1.2,0,9.9,,,100,480,100,,1.8,85.0,2.3,200,2.6,5.5,,
Amido di frumento,,,0.4,85.8,0.1,348,0,0,0.1,,,0,0.0,1.2,0,,,0,0,0.01,0,0,,0,0,0,0,0,,,4,16,0,,0.1,2.0,0,20,nd,0,,
Anacardi,,,21.5,23.2,48.1,619,8.2,29.1,8.7,,,3.1,0.0,3.6,0,,,0.59,0.06,1.1,1.2,0.42,,45.5,0,0.5,0,0.28,,,270,660,40,,4,9.2,5.9,540,15,5,,
"Ananas, con edulcorante, in scatola, sgocciolata",,,0.5,9.4,0.1,42,0,0,0,,,8.4,0.0,1,0,,,0.04,0.01,0.16,0.1,0.05,,4.7,0,22.6,0,0.02,,,8.8,73,13,,0.1,0.6,0.1,4.8,0.3,1.4,,
"Ananas, crudo",,,0.5,11.7,0.1,52,0,0,0,,,10.5,0.0,1.2,0,,,0.07,0.02,0.2,0.13,0.07,,9.4,0,56.5,0,0.02,,,11,120,14,,0.1,1.0,0.2,6,0.3,1.4,,
"Ananas, in succo d'ananas, in scatola, non sgocciolato",,,0.4,13.6,0.1,59,0,0,0,,,12.6,0.0,0.9,0,,,0.06,0.01,0.2,0.06,0.06,,5,0,5,0,0.01,,,12,130,10,,0.1,0.2,0.2,7.1,0.1,0.1,,
"Ananas, in succo d'ananas, in scatola, sgocciolato",,,0.5,13.6,0.1,60,0,0,0,,,12.8,0.0,1.4,0,,,0.06,0,0.2,0.07,0.08,,5,0,5,0,0.02,,,12,130,11,,0.1,1.0,0.2,7.8,0.1,0.3,,
"Ananas, sciroppato, in scatola, sgocciolata",,,0.5,15.9,0.1,70,0,0,0,,,15.9,0.0,1.6,0,,,0.03,0,0.2,0.04,0.05,,5,0,5.2,0,0.02,,,11,95,6.4,,0.1,1.9,0.1,4.8,0.1,0.3,,
"Anguria, cruda",,,0.7,8.3,0.2,39,0.1,0,0.1,,,7.9,0.0,0.5,0,,,0.03,0.02,0.26,0.18,0.06,,20.4,0,5.8,0,0,,,11,100,6,,0.1,0.0,0.2,9.7,1.3,10,,
Arachide,,,26.1,14.8,49.1,623,8.4,25.5,12.9,,,5.9,0.0,8.6,0,,,0.6,0.43,12,2.48,0.02,,101.7,0,0,0,2.88,,,160,710,65,,4,18.0,1.6,380,30,13,,
Arachide ricoperta di cioccolato,,,9.5,55.9,25.0,498,9.9,12.7,1.2,,,50.5,0.1,5.9,nd,,,0.34,0.17,2.29,0.78,0.03,,80.4,nd,nd,0.8,2.32,,,95,500,100,,1.4,47.0,2.9,230,nd,nd,,
"Arachide, tostata, salata",,,26.2,15.0,50.0,631,8.6,24.7,12.4,,,4.2,1.3,8,0,,,0.14,0.07,12.4,1.17,0.43,,66.6,0,0.5,0,2.5,,,170,530,47,,2.9,530.0,1.2,240,4.8,5.7,,
"Arachide, tostata, senza sale",,,26.8,11.3,51.9,637,7.9,26.2,9.8,,,2.5,0.0,8.7,0,,,0.15,0.2,14.4,1.01,0.47,,97,nd,0,0,4.93,,,180,630,58,,2.8,8.0,1.6,360,nd,nd,,
"Arancia, cruda",,,0.8,8.0,0.2,45,0,0.1,0.1,,,7.6,0.0,2.7,0,,,0.09,0.03,0.35,0.18,0.05,,18.8,0,50.9,0,0.19,,,15,180,45,,0.2,0.0,0.3,38,1.2,1,,
"Asparago, bianco, crudo",,,2.4,2.5,0.3,26,0.1,0,0.2,,,1.9,0.0,1.8,0,,,0.09,0.23,0.98,0.16,0.06,,61.2,0,17.7,0,1.13,,,8.9,190,16,,0.4,1.8,0.4,41,0.6,4,,
"Asparago (bianco o verde), al vapore (senza aggiunta di sale)",,,2.0,2.7,0.3,25,0.1,0,0.2,,,1.8,0.0,1.7,0,,,0.09,0.16,0.49,0.19,0.07,,47.6,0,11.1,0,1.13,,,9.8,190,15,,0.5,1.8,0.3,48,0.9,4.8,,
"Asparago (bianco o verde), crudo",,,2.2,2.8,0.3,26,0.1,0,0.2,,,1.9,0.0,1.8,0,,,0.12,0.18,0.61,0.22,0.08,,79.4,0,14.8,0,1.13,,,11,220,16,,0.5,2.1,0.4,50,1,5,,
"Asparago, verde, crudo",,,1.9,3.1,0.3,26,0.1,0,0.2,,,1.9,0.0,1.8,0,,,0.13,0.12,0.24,0.27,0.11,,98.5,0,12.5,0,2,,,13,250,17,,0.6,2.0,0.4,59,0.6,4,,
"Avocado, crudo",,,1.6,1.2,15.1,158,2.8,7.7,1.7,,,1.1,0.0,5.5,0,,,0.05,0.11,1.22,0.94,0.14,,57.9,0,3.7,0,1.94,,,29,430,15,,0.5,2.4,0.5,45,0,0,,
"Bacca di sambuco nero, cruda",,,2.5,7.4,1.7,63,0.1,0.1,1.1,,,7.4,0.0,4,0,,,0.07,0.07,1.6,0.16,0.25,,17,0,29,0,1,,,30,300,37,,0.2,1.0,1.6,57,nd,3,,
"Bacche (media), cotte (senza aggiunta di zucchero),",,,0.9,5.9,0.5,38,0.1,0.1,0.3,,,5.5,0.0,3.1,0,,,0.01,0.03,0.3,0.17,0.03,,15.3,0,19.9,0,0.7,,,11,95,20,,0.1,0.9,0.3,21,0.4,1.5,,
"Bacche (media), crude",,,0.9,7.0,0.5,43,0.1,0.1,0.3,,,6.6,0.0,3.7,0,,,0.02,0.03,0.35,0.2,0.04,,29.1,0,47.3,0,0.67,,,13,150,20,,0.1,1.4,0.3,25,0.4,1.4,,
"Bami Goreng, preparato",,,13.5,13.1,2.4,130,0.3,1.3,0.5,,,1.3,1.0,0.9,44,,,0.11,0.08,3.57,0.32,0.14,,5,0.05,11.6,0.3,0.41,,,18,200,9,,0.6,400.0,0.7,120,22,1.5,,
"Banana, cruda",,,1.1,19.7,0.2,90,0.1,0,0.1,,,15.6,0.0,2.7,0,,,0.05,0.03,0.6,0.23,0.25,,25.6,0,11.9,0,0,,,28,320,5.1,,0.1,0.0,0.2,29,0.5,3,,
"Banana, secca",,,3.0,60.2,1.0,273,0.4,0.1,0.2,,,43.7,0.0,5.5,0,,,0.1,0.18,2,0.54,0.81,,33.3,0,4,0,0.6,,,90,1150,20,,0.6,8.0,1.3,75,nd,8.1,,
"Barbabietola, al vapore (senza aggiunta di sale)",,,2.0,10.0,0.4,56,0.1,0,0.2,,,10,0.1,2.7,0,,,0.02,0.05,0.2,0.16,0.04,,68.3,0,4.8,0,0.1,,,21,440,21,,0.4,47.0,0.3,26,0.2,0.6,,
"Barbabietola, cruda",,,1.7,8.4,0.3,48,0,0,0.1,,,8.4,0.1,2.3,0,,,0.02,0.04,0.2,0.15,0.04,,91,0,4.8,0,0.08,,,20,410,18,,0.3,47.0,0.3,22,0.2,0.5,,
"Barretta ai cereali, con copertura di cioccolato",,,8.7,57.9,20.3,460,10.9,6.6,2,,,37,0.4,5.7,4,,,0.17,0.19,1.06,0.36,0.14,,21.6,0,2.5,0,1.03,,,67,450,110,,1.6,150.0,2.3,210,nd,7.2,,
"Barretta ai cereali, senza copertura o ripieno",,,8.2,64.0,13.0,418,5.5,4.4,2.2,,,32.1,0.4,6,0,,,0.19,0.07,1.36,0.4,0.17,,22.8,0,1.7,0,1.13,,,62,270,29,,1.4,180.0,2.2,180,nd,1.8,,
"Basilico, fresco",,,3.1,5.1,0.8,46,0.1,0,0.4,,,5,0.0,3.1,0,,,0.08,0.31,1.1,0.2,0.18,,50,0,26,0,1,,,11,300,250,,0.7,9.0,5.5,37,nd,0.9,,
Bastoncini alle nocciole,,,10.5,47.0,36.6,567,12.5,17.7,3.1,,,22.6,0.1,3.7,140,,,0.19,0.08,0.46,0.89,0.2,,29.5,0.29,0.5,0.8,5.11,,,55,280,61,,1.5,56.0,1.9,180,5.6,11,,
Bastoncini di pasta sfoglia ,,,7.1,40.4,32.9,490,15,11.6,4,,,0.3,2.6,1.8,45,,,0.09,0.03,0.22,0.22,0.09,,4.8,0.01,0,0.9,3.05,,,21,120,14,,0.7,1040.0,0.9,79,1.4,1.5,,
"Bastoncino di pesce, impanato e prefritto",,,15.5,15.5,11.9,232,0.9,6.8,3.5,,,0.1,0.6,0.7,47,,,0.07,0.04,1.4,nd,0.12,,8.5,0.88,0,0.9,1.27,,,19,300,10,,0.5,250.0,0.4,140,18,89,,
"Bastoncino di pesce (impanato e prefritto), cotto al forno (senza aggiunta di grasso)",,,16.7,17.6,12.4,251,1,7.1,3.6,,,0.1,0.6,0.8,53,,,0.06,0.04,1.32,nd,0.12,,7.7,0.9,0,0.8,1.35,,,19,290,12,,0.5,240.0,0.4,150,21,100,,
"Bastoncino di pesce (impanato e prefritto), cotto in olio di colza HOLL",,,16.0,16.8,18.9,302,1.4,12,4.4,,,0.1,0.6,0.8,51,,,0.06,0.04,1.37,nd,0.1,,7.4,0.86,0,0.8,1.64,,,18,280,11,,0.5,230.0,0.4,140,20,96,,
Berner Hobelkäse (rotoli di formaggio),,,30.0,0.0,41.2,491,24.7,9.7,1.9,,,nd,1.7,0,nd,,,nd,0.56,nd,0.43,nd,,nd,0.83,nd,0.8,nd,,,nd,nd,nd,,nd,690.0,nd,nd,nd,nd,,
"Bevanda a base di avena, naturale",,,0.5,7.8,1.5,47,0.2,0.5,0.7,,,3.6,0.1,0.2,0,,,0.03,0.01,0.06,0.15,0.01,,2.3,0,0,0,0.51,,,4.2,30,1,,0,40.0,0,11,0.2,0.4,,
"Bevanda a base di avena, naturale, arricchita di calcio e vitamine",,,0.5,7.8,1.5,48,0.2,0.5,0.7,,,3.6,0.1,0.9,0,,,0.03,0.15,0.06,0.15,0.01,,2.3,0.26,0,0.9,0.51,,,4.2,30,120,,0,40.0,0,29,0.2,8.7,,
"Bevanda a base di cocco, naturale",,,0.4,2.8,1.0,22,0.8,0,0,,,1.9,0.1,0.1,0,,,0,0,0.1,0.03,0,,0.5,0,0,0,0,,,5.9,72,2.7,,0,34.0,0.1,3.9,0.4,0.6,,
"Bevanda a base di cocco, naturale, arricchita di calcio e vitamine",,,0.4,2.8,1.0,22,0.8,0,0,,,1.9,0.1,0.1,0,,,0,0,0.1,0.03,0,,0.5,0.38,0,0.8,0,,,5.9,72,120,,0,34.0,0.1,70,0.4,0.6,,
"Bevanda a base di mandorla, naturale",,,1.1,1.3,2.6,33,0.2,1.6,0.5,,,1.3,0.1,0.3,0,,,0.01,0.02,0.16,0.02,0,,1.9,0,0,0,0.86,,,9.5,34,12,,0.1,36.0,0.1,16,0.2,0.4,,
"Bevanda a base di mandorla, naturale, arricchita con calcio e vitamine",,,1.1,1.3,2.6,33,0.2,1.6,0.5,,,1.3,0.1,0.3,0,,,0.01,0.21,0.16,0.02,0,,1.9,0.38,0,0.8,1.8,,,9.5,34,120,,0.1,36.0,0.1,43,0.2,0.4,,
"Bevanda a base di riso, naturale",,,0.2,10.3,1.3,54,0.1,0.4,0.6,,,2.8,0.0,0.1,0,,,0.01,0,0.13,0.13,0,,1.6,0,0,0,0.46,,,6.8,31,5,,0.1,15.0,0,7.1,0.1,1,,
"Bevanda a base di riso, naturale, arricchita di calcio",,,0.2,10.3,1.3,54,0.1,0.4,0.6,,,2.8,0.0,0.1,0,,,0.01,0,0.13,0.13,0,,1.6,0,0,0,0.46,,,6.8,31,120,,0.1,15.0,0.1,7.1,0.1,2.1,,
"Bevanda a base di soia, naturale",,,3.6,1.5,2.1,40,0.3,0.4,1.1,,,1.4,0.1,0.6,0,,,0.04,0.01,0.17,0.12,0.04,,17.7,0,0,0,0.21,,,20,160,12,,0.3,23.0,0.5,50,1,1.3,,
"Bevanda a base di soia, naturale, arricchita di calcio e vitamine",,,3.6,1.5,2.1,40,0.3,0.4,1.1,,,1.4,0.1,0.6,0,,,0.04,0.16,0.17,0.12,0.04,,17.7,0.29,0,0.6,0.21,,,20,160,120,,0.3,23.0,0.5,81,1,1.3,,
"Bevanda al cacao, con zucchero, polvere",,,6.5,78.5,3.4,386,2,1.1,0.1,,,73.5,0.2,7.7,0,,,0.03,0.06,0.59,0.02,0.1,,12.6,0,0,0,0.07,,,160,1040,45,,2,80.0,13,210,nd,1,,
"Bevanda al cacao, con zucchero, preparata (con latte)",,,3.4,10.0,3.0,81,1.7,0.7,0.1,,,9.6,0.1,0.5,10,,,0.02,0.16,0.15,0.32,0.03,,5.6,0.21,1.7,0.1,0.09,,,21,220,110,,0.5,42.0,0.9,100,nd,9.7,,
"Bevanda al malto e cacao, arricchita di vitamine e minerali, polvere (Media di prodotti commerciali)",,,10.7,76.4,1.8,372,0.8,0.6,0.1,,,47.4,0.5,3.9,4,,,1.1,1.38,16,6,1.43,,200,2.63,80,3.8,12,,,240,660,460,,1.5,190.0,14,190,nd,2.8,,
"Bevanda al malto e cacao, arricchita di vitamine e minerali, preparata (con latte)",,,3.7,9.8,2.9,80,1.7,0.7,0.1,,,7.8,0.1,0.3,11,,,0.1,0.25,1.22,0.73,0.12,,18.7,0.39,6.2,0.3,0.92,,,27,200,140,,0.4,50.0,1,98,nd,9.9,,
Bevanda gassata a base di cola edulcorata,,,0.0,0.0,0.0,0,0,0,0,,,0,0.0,0,0,,,0.01,0.02,0,0,0,,0,0,0,0,0,,,1,1,4,,0.1,5.0,0,8,nd,1,,
Bevanda gassata a base di cola zuccherata,,,0.0,10.0,0.0,40,0,0,0,,,10,0.0,0,0,,,0,0,0,0,0,,0,0,0,0,0,,,1,1,5,,0,9.0,0,15,nd,2,,
Biber,,,7.8,65.4,5.6,355,0.7,3.1,1.4,,,36.9,0.1,3.2,22,,,0.08,0.12,0.39,0.24,0.11,,12.6,0.06,0.5,0.1,2.44,,,32,150,56,,0.8,57.0,1.4,140,3.4,2.5,,
"Bietola, al vapore (senza aggiunta di sale)",,,1.3,2.0,0.3,20,0,0.1,0.1,,,1.5,0.1,2.2,0,,,0.04,0.02,0.42,0.2,0.07,,14.7,0,7.7,0,nd,,,20,340,48,,0.1,60.0,0.9,13,0.6,5,,
"Bietola da coste, cruda",,,1.0,1.6,0.2,16,0,0,0.1,,,1.2,0.1,1.8,0,,,0.04,0.02,0.4,0.18,0.06,,18.7,0,10.7,0,nd,,,17,300,38,,0.1,53.0,0.9,10,0.5,4,,
"Birchermüesli, preparato (non zuccherato)",,,2.6,11.1,3.1,86,1.1,1.1,0.6,,,8.2,0.0,1.5,5,,,0.04,0.09,0.19,0.22,0.05,,8,0.09,4.7,0,0.41,,,19,160,58,,0.4,19.0,0.3,78,nd,5.8,,
Birra ai cinque cereali,,,0.6,2.0,0.0,40,0,0,0,,,2,0.0,0.2,0,,,0,0.04,0.77,0.09,0.09,,5,0.1,0,0,0,,,11,43,3.6,,0,1.4,0,16,nd,0,,
"Birra, analcolica",,,0.4,4.9,0.0,23,0,0,0,,,2.6,0.0,0,0,,,0.01,0.01,0.65,0.08,0.04,,5,0.02,0,0,0,,,6.2,34,4.8,,0,1.5,0,11,nd,1,,
"Birra, lager",,,0.5,3.1,0.0,42,0,0,0,,,2.2,0.0,0,0,,,0,0.03,0.77,0.03,0.06,,6.3,0.02,0,0,0,,,9.6,55,3.5,,0,1.9,0,19,nd,1.5,,
Birra panaché (media),,,0.2,7.4,0.0,39,0,0,0,,,7.1,0.0,0,0,,,0,0.02,0.27,0.01,0.02,,2.1,0.01,0,0,0,,,11,24,4.5,,0,2.6,0.1,7,nd,1.7,,
Biscotti al cocco,,,6.9,35.1,38.9,549,33.8,1.5,0.2,,,35.1,0.2,15.7,0,,,0.02,0.07,0.39,0.04,0.06,,14,0.06,0,0,0.05,,,66,480,8.3,,0.9,98.0,1.8,120,6.6,5.3,,
Biscotti alle nocciole,,,6.7,47.4,27.7,473,8,16,2.3,,,23.3,0.1,3.5,32,,,0.09,0.07,0.57,0.3,0.11,,11,0,0.6,0,7.27,,,49,220,80,,0.9,52.0,1.6,160,nd,2,,
Biscotti prussiani,,,4.7,53.8,22.4,438,13.2,5.2,1.3,,,27.4,0.8,1.2,59,,,0.06,0.02,0.12,0.14,0.06,,3,0,0,0.4,0.67,,,14,75,10,,0.5,310.0,0.6,52,1,0.6,,
Biscotti savoiardi,,,12.2,71.8,8.3,413,2.4,3.2,1.2,,,34.9,0.8,1.4,281,,,0.07,0.2,0.26,0.9,0.1,,25,1,0,1,1.53,,,15,140,65,,1.4,310.0,2.1,330,nd,8,,
"Blanc battu alla frutta, con edulcoranti",,,8.0,8.3,0.2,67,0.1,0,0,,,5.2,0.1,0.3,0,,,0.03,0.34,0.28,0.37,0.04,,15.1,0.39,1.5,0,0.06,,,13,180,130,,0.5,48.0,0.1,140,nd,19,,
"Blanc battu, naturale, magro",,,7.8,3.9,0.0,47,0,0,0,,,3.9,0.1,0,1,,,0.04,0.32,0.2,0.35,0.06,,24,0.36,0,0.1,0,,,12,140,130,,0.5,44.0,0.2,120,nd,10,,
Bombolone farcito ,,,8.4,45.8,12.8,336,6.8,4,0.9,,,17.1,0.6,2.2,104,,,0.05,0.1,0.48,0.38,0.1,,14,0,0.2,1,0.78,,,16,110,38,,0.9,250.0,1.3,100,nd,4.1,,
Bresaola,,,32.4,0.4,2.6,155,0.8,1.1,0.4,,,0,6.8,0,65,,,0.12,0.6,2.4,0,0.53,,19,0,0,0.5,0.12,,,0,320,35,,4.1,2730.0,2.4,140,7,0,,
"Broccoli, al vapore (senza aggiunta di sale)",,,3.3,2.9,0.5,35,0.1,0.1,0.2,,,1.7,0.0,2.8,0,,,0.08,0.1,0.62,0.63,0.17,,34.8,0,74.2,0,1.39,,,19,320,42,,0.4,9.8,0.7,73,0.7,6.9,,
"Broccoli, crudi",,,3.6,3.2,0.6,39,0.2,0.1,0.3,,,1.9,0.0,3.2,0,,,0.1,0.12,0.8,0.77,0.21,,60.3,0,102.9,0,1.45,,,21,390,46,,0.5,12.0,0.9,80,0.8,7.6,,
Brodo di carne preparato,,,0.3,0.2,0.3,5,0.2,0.1,0,,,0,1.1,0,0,,,0,0.01,0.83,0.14,0.01,,23,1,0,0,0,,,10,54,1,,0,420.0,0.2,13,nd,3,,
Brodo di pollo preparato,,,0.3,0.3,0.3,5,0.1,0.1,0.1,,,0.1,1.0,0,5,,,0,0.01,1.2,0.18,0.01,,23,0.4,0,0,0,,,11,10,6,,0,400.0,0,5,nd,2.8,,
"Brodo di verdura, preparato",,,0.3,0.4,0.4,6,0.1,0.2,0.1,,,0.1,0.9,0,0,,,0.11,0.01,0.1,0.03,0,,1,0,0,0,0,,,4,8,1,,0,360.0,0.1,3,nd,3.6,,
