name,brand,barcode,proteins,carbohydrates,fats,energy,saturated_fats,monounsaturated_fats,polyunsaturated_fats,omega3,omega6,sugars,salt,dietary_fiber,cholesterol,caffeine_milli,vitamin_a,vitamin_b1,vitamin_b2,vitamin_b3,vitamin_b5,vitamin_b6,vitamin_b7_micro,vitamin_b9,vitamin_b12,vitamin_c,vitamin_d,vitamin_e,vitamin_k_micro,manganese_milli,magnesium,potassium,calcium,copper_milli,zinc,sodium,iron,phosphorus,selenium,iodine,package_weight,serving_weight
"Pasta all'uovo, cotta in acqua salata (sale non iodato)",,,5.0,25.0,1.1,132,0.2,0.1,0.4,,,1.3,0.9,1.3,0.032,,,5e-05,2e-05,0.00064,0.0001,2e-05,,5.7999999999999995e-06,0.0,0.0,0.0,4e-05,,,0.013,0.049,0.0083,,0.0005,0.34,0.0008,0.055,3.2e-05,1.4e-06,,
"Pasta all'uovo, secca",,,13.3,69.9,2.8,365,0.5,0.4,1.0,,,3.7,0.0,3.4,0.086,,,0.00017,7.000000000000001e-05,0.0019,0.0003,5.9999999999999995e-05,,2.2e-05,0.0,0.0,0.0,0.0001,,,0.042,0.22,0.023,,0.0013,0.017,0.003,0.15,8.6e-05,3.2999999999999997e-06,,
"Pasta, cotta in acqua salata (sale non iodato)",,,5.9,31.2,0.6,158,0.1,0.0,0.2,,,0.2,1.0,2.4,0.0,,,4e-05,2e-05,0.0008399999999999999,0.00013000000000000002,7.000000000000001e-05,,1.01e-05,0.0,0.0,0.0,0.00015,,,0.022,0.056,0.009800000000000001,,0.0007,0.42,0.0005,0.073,2.4e-05,5e-07,,
Pasta di acciughe,,,19.8,0.2,21.3,272,4.1,13.9,2.2,,,0.1,19.0,0.0,0.057,,,2.9999999999999997e-05,0.00019,0.0029300000000000003,0.00047,0.00028000000000000003,,1.2e-05,1.568e-05,0.0004,1.3e-06,0.00519,,,0.17,0.19,0.22,,0.0013,7.72,0.0021000000000000003,0.21,6e-06,2.5e-05,,
Pasta di wasabi,,,2.9,49.6,10.6,308,0.0,0.0,0.0,,,0.0,5.8,1.3,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,2.33,0.0,0.0,0.0,0.0,,
"Pasta fresca, con ripieno di carne, cotta",,,6.9,25.1,4.7,174,1.7,2.0,0.8,,,1.0,0.7,2.2,0.026,,,0.00019,5e-05,0.00051,0.00032,5e-05,,1.36e-05,5.699999999999999e-07,0.0005,4.0000000000000003e-07,0.00028000000000000003,,,0.018,0.095,0.029,,0.0007,0.3,0.0008,0.086,9e-06,8e-06,,
"Pasta fresca, con ripieno di spinaci e ricotta, cotta (senza aggiunta di grasso e sale)",,,7.5,24.5,4.9,177,1.7,1.7,0.8,,,0.8,0.5,2.3,0.037,,,5e-05,7.000000000000001e-05,0.00025,0.00035999999999999997,5.9999999999999995e-05,,2.02e-05,1.8e-07,0.0023,3e-07,0.00091,,,0.025,0.094,0.053,,0.0009,0.19,0.0009,0.096,0.0,7.599999999999999e-06,,
"Pasta fresca, con ripieno di spinaci e ricotta, cruda",,,8.7,30.0,5.7,212,2.0,1.9,1.0,,,1.0,1.1,2.7,0.043,,,7.000000000000001e-05,0.00011,0.00032,0.00047,7.000000000000001e-05,,3.34e-05,2.1e-07,0.0037,3e-07,0.00106,,,0.034,0.18,0.064,,0.001,0.44,0.0013,0.12,0.0,8.8e-06,,
"Pasta frolla (con burro), dolce, cotta al forno",,,9.8,57.3,28.6,530,16.3,6.9,1.9,,,13.2,0.9,2.0,0.126,,,0.00011,7.000000000000001e-05,0.0002,0.0005200000000000001,0.00011,,1.04e-05,2.1e-07,0.0,9.000000000000001e-07,0.0011,,,0.024,0.14,0.02,,0.001,0.35,0.0013,0.12,5.3e-06,7e-06,,
"Pasta frolla (con burro), dolce, cruda",,,7.8,45.8,22.9,424,13.1,5.5,1.5,,,10.5,0.7,1.6,0.101,,,0.00011999999999999999,5.9999999999999995e-05,0.00017,0.00055,0.0001,,1.67e-05,1.7000000000000001e-07,0.0,7e-07,0.00088,,,0.019,0.12,0.016,,0.0008,0.28,0.001,0.092,4.2000000000000004e-06,5.6e-06,,
"Pasta frolla (con grasso vegetale ), dolce, cotta al forno",,,8.0,58.4,24.9,494,11.2,9.8,2.8,,,17.8,0.3,1.9,0.026,,,0.0001,4e-05,0.00017999999999999998,0.00034,8.999999999999999e-05,,7.2000000000000005e-06,1.0000000000000001e-07,0.0,2.0000000000000002e-07,0.00244,,,0.021,0.12,0.012,,0.0007,0.13,0.001,0.086,3e-06,3.5e-06,,
"Pasta frolla (con grasso vegetale), dolce, cruda",,,6.4,46.7,19.9,395,9.0,7.9,2.2,,,14.2,0.3,1.5,0.021,,,0.0001,2.9999999999999997e-05,0.00015,0.00037,8e-05,,1.1400000000000001e-05,8e-08,0.0,2.0000000000000002e-07,0.00195,,,0.017,0.093,0.009300000000000001,,0.0006,0.1,0.0008,0.069,2.4e-06,2.8e-06,,
"Pasta integrale, cotta in acqua salata (sale non iodato)",,,5.9,26.8,1.2,152,0.2,0.1,0.5,,,0.3,1.0,5.4,0.0,,,0.00027,4e-05,0.0013,0.00034,8e-05,,1.3e-05,0.0,0.0,0.0,8.999999999999999e-05,,,0.048,0.11,0.015,,0.0014,0.42,0.0014,0.16,0.0,1.1e-06,,
"Pasta integrale, secca",,,12.6,60.6,2.5,338,0.4,0.3,1.1,,,0.7,0.0,11.5,0.0,,,0.00067,0.00011,0.0031,0.0008,0.0002,,4e-05,0.0,0.0,0.0,0.0002,,,0.12,0.39,0.034,,0.003,0.005,0.0039,0.37,0.0,1.8999999999999998e-06,,
"Pasta lievitata (con burro), dolce, cruda",,,8.7,43.2,11.1,311,6.1,2.7,1.0,,,6.4,0.9,1.9,0.057,,,0.00015,0.00014000000000000001,0.00054,0.00062,0.00011999999999999999,,3.79e-05,1.4e-07,0.0002,4.0000000000000003e-07,0.00061,,,0.022,0.16,0.034,,0.0009,0.38,0.0011,0.11,3.5e-06,5.7999999999999995e-06,,
"Pasta lievitata (con grassa vegetale), dolce, cruda",,,9.2,39.9,11.1,300,3.6,4.8,2.2,,,1.1,1.0,2.1,0.036,,,0.00016,0.00014000000000000001,0.0005899999999999999,0.00066,0.00013000000000000002,,4.03e-05,1.6e-07,0.0002,6e-07,0.00177,,,0.024,0.17,0.035,,0.0009,0.41,0.0011,0.12,3.7e-06,6.3e-06,,
