name,brand,barcode,proteins,carbohydrates,fats,energy,saturated_fats,monounsaturated_fats,polyunsaturated_fats,omega3,omega6,sugars,salt,dietary_fiber,cholesterol_milli,caffeine_milli,vitamin_a_micro,vitamin_b1_milli,vitamin_b2_milli,vitamin_b3_milli,vitamin_b5_milli,vitamin_b6_milli,vitamin_b7_micro,vitamin_b9_micro,vitamin_b12_micro,vitamin_c_milli,vitamin_d_micro,vitamin_e_milli,vitamin_k_micro,manganese_milli,magnesium_milli,potassium_milli,calcium_milli,copper_milli,zinc_milli,sodium_milli,iron_milli,phosphorus_milli,selenium_micro,iodine_micro,package_weight,serving_weight
Agar Agar,,,2.4,0.0,0.2,160,n.d.,n.d.,n.d.,,,n.d.,0.3,74.1,n.d.,,,n.d.,n.d.,n.d.,,n.d.,,n.d.,n.d.,n.d.,n.d.,n.d.,,,100,52,660,,1.5,130.0,4.5,34,n.d.,n.d.,,
Agave syrup,,,0.2,73.1,0.0,293,0,n.d.,n.d.,,,n.d.,0.0,0,n.d.,,,n.d.,n.d.,n.d.,,n.d.,,n.d.,n.d.,n.d.,n.d.,n.d.,,,n.d.,n.d.,n.d.,,n.d.,4.0,n.d.,n.d.,n.d.,n.d.,,
"Broccoli, raw",,,3.6,3.2,0.6,39,0.2,0.1,0.3,,,1.9,0.0,3.2,0,,,0.1,0.12,0.8,,0.21,,60.3,0,102.9,0,1.45,,,21,390,46,,0.5,12.0,0.9,80,0.8,7.6,,
"Broccoli, steamed (without addition of salt)",,,3.3,2.9,0.5,35,0.1,0.1,0.2,,,1.7,0.0,2.8,0,,,0.08,0.1,0.62,,0.17,,34.8,0,74.2,0,1.39,,,19,320,42,,0.4,9.8,0.7,73,0.7,6.9,,
Brown bread,,,9.5,44.3,1.2,234,0.2,0.1,0.6,,,0.5,1.6,4.1,0,,,0.23,0.07,1.12,,0.08,,20.5,0,0,0,0.27,,,38,150,20,,1.3,630.0,1.6,150,3.4,1.3,,
Brown bread (with iodized salt),,,9.5,44.3,1.2,234,0.2,0.1,0.6,,,0.5,1.6,4.1,0,,,0.23,0.07,1.12,,0.08,,20.5,0,0,0,0.27,,,38,150,20,,1.3,620.0,1.6,150,3.4,40,,
Brunsli (chocolate cookie),,,14.9,43.3,29.8,515,5.8,17.3,5.7,,,39.4,0.1,6.7,0,,,0.09,0.5,1,,0.08,,29.5,0.04,0.2,0.1,11.57,,,140,580,140,,2.1,57.0,3.7,270,4,1.6,,
"Brussel sprouts, steamed (without addition of salt)",,,3.6,3.0,0.4,37,0.1,0,0.2,,,2.5,0.0,3.6,0,,,0.11,0.12,0.45,,0.24,,26.8,0,105,0,0.86,,,18,350,28,,0.3,4.7,0.5,72,2.9,0.6,,
"Brussels sprouts, raw",,,4.0,3.3,0.4,41,0.1,0,0.2,,,2.8,0.0,4,0,,,0.14,0.13,0.59,,0.3,,46.5,0,145.6,0,0.89,,,21,430,31,,0.4,5.8,0.6,78,3.2,0.7,,
Buckwheat flour,,,12.0,65.4,2.8,343,0.3,0.6,0.7,,,1.4,0.0,4.7,0,,,0.58,0.15,2.32,,0.23,,57.5,0,0,0,0.08,,,190,410,15,,1.4,0.4,2.3,260,2.8,2.5,,
"Buckwheat, grain peeled",,,13.1,62.4,3.1,341,0.3,0.7,0.8,,,0.9,0.0,5.8,0,,,0.43,0.14,2.92,,0.26,,59.8,0,0,0,0.13,,,200,420,15,,1.6,0.3,2.1,370,3.2,3.7,,
"Burger patty (beef), homemade, pan fried in HOLL rapeseed oil",,,17.8,6.4,14.7,231,4.9,7.5,1.3,,,1.2,0.7,0.7,83,,,0.05,0.14,4.73,,0.29,,14.1,1.07,2.3,0.5,0.98,,,18,270,21,,3.1,290.0,1.5,150,n.d.,7.5,,
