name,brand,barcode,proteins,carbohydrates,fats,calories,saturated_fats,monounsaturated_fats,polyunsaturated_fats,omega3,omega6,sugars,salt,fiber,cholesterol_milli,caffeine_milli,vitamin_a_micro,vitamin_b1_milli,vitamin_b2_milli,vitamin_b3_milli,vitamin_b5_milli,vitamin_b6_milli,vitamin_b7_micro,vitamin_b9_micro,vitamin_b12_micro,vitamin_c_milli,vitamin_d_micro,vitamin_e_milli,vitamin_k_micro,manganese_milli,magnesium_milli,potassium_milli,calcium_milli,copper_milli,zinc_milli,sodium_milli,iron_milli,phosphorus_milli,selenium_micro,iodine_micro,package_weight,serving_weight
Agar Agar,,,2.4,0.0,0.2,160,n.d.,n.d.,n.d.,,,n.d.,0.3,74.1,n.d.,,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,,n.d.,n.d.,n.d.,n.d.,n.d.,,,100,52,660,,1.5,130.0,4.5,34,n.d.,n.d.,,
Agave syrup,,,0.2,73.1,0.0,293,0,n.d.,n.d.,,,n.d.,0.0,0.0,n.d.,,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,,n.d.,n.d.,n.d.,n.d.,n.d.,,,n.d.,n.d.,n.d.,,n.d.,4.0,n.d.,n.d.,n.d.,n.d.,,
"Currant, red, raw",,,1.6,7.1,0.7,50,0.2,0.1,0.4,,,6.6,0.0,4.6,0,,2,0.03,0.04,0.29,0.65,0.04,,10.5,0,31,0,0.8,,,12,230,38,,0.2,5.0,0.4,38,1.3,1,,
"Date, dried",,,2.4,64.7,0.6,289,0.3,0.3,0,,,64.7,0.0,7.5,0,,2,0.06,0.06,1.36,0.6,0.12,,18.4,0,0.2,0,0.67,,,55,730,68,,0.4,11.0,2.2,68,2.7,1,,
"Deer (average), raw",,,20.6,0.0,3.3,112,1.5,1.4,0.2,,,0,0.2,0.0,50,,0,0.25,0.25,0,0.8,0.3,,5,1,0,0,0.13,,,21,310,10,,3.2,62.0,2.3,200,n.d.,0.6,,
"Deer, entrecôte, raw",,,23.1,0.0,2.1,111,1.2,0.9,0.5,,,0,0.1,0.0,59,,0,0.26,0.6,n.d.,0.69,0.99,,6,6.3,0,0.4,0.2,,,23,320,3.2,,2.9,53.0,3,200,n.d.,7.8,,
Dough for french pizza from Alsace,,,7.5,39.9,2.9,221,1.4,0.6,0.5,,,0.6,1.3,2.7,6,,22,0.14,0.04,0.52,0.34,0.13,,17.6,0,0,0,0.3,,,25,110,11,,0.8,500.0,1.1,88,2.8,0.8,,
"Dried meat (Hobel-, Bündner-, Walliser-, Tessiner- dried meat)",,,39.3,0.4,3.5,190,1.6,1.5,0.2,,,0.4,4.1,0.0,84,,3,0.1,0.24,10.52,1.2,0.42,,0,1.57,1.1,0,0,,,37,640,0,,6.5,1620.0,4,330,14,0,,
Drinking water (average Switzerland),,,0.0,0.0,0.0,0,0,0,0,,,0,0.0,0.0,0,,0,0,0,0,0,0,,0,0,0,0,0,,,1,0,7,,0,1.0,0,0,0,0,,
Dulce de Leche,,,5.7,52.6,7.3,299,4.4,1.7,0.3,,,52.6,0.2,0.0,28,,84,0.03,0.37,0.19,0.55,0.04,,5,0.27,1.3,0.1,0.23,,,18,280,210,,0.6,69.0,0.1,160,1.9,17,,
Durum wheat semolina,,,12.0,71.4,1.4,353,0.2,0.1,0.5,,,1,0.0,3.4,0,,2,0.07,0.06,2.16,0.35,0.08,,57,0,0,0,0.1,,,27,150,17,,2.2,1.2,0.9,100,n.d.,5.1,,
"Edible boletus, fresh",,,5.4,0.5,0.4,39,0.1,0,0.2,,,0.1,0.0,6.0,0,,0,0.32,1.02,14.64,2.7,0.03,,25,0,1.9,3.1,0.16,,,12,340,4.2,,1.5,6.0,1,85,n.d.,3.6,,
